0,144.1,26,mhmdItgie@BpB@TB?b@xAn@|ATh@
1,46.4,5.4,ydmdI~rie@LJLDJ?d@W
2,112.7,13.4,kbmdIxrie@\rAFTr@nCNf@
3,76.8,9,a_mdIz{ie@b@S`@SHM`@_A
4,465.9,41.9,o{ldIdxie@\l@RZvA|Bl@`An@dAFXh@jEJ|ABr@DpB@hACjACnAC^Mn@Qv@
5,295.8,28.5,isldIl}je@K`@u@hDSv@Un@Un@_AjB]p@Q^wAlC
6,657.4,65.5,s}ldI|rke@Ud@S^Ud@CFYj@INKTCFILABYf@o@bAwA~BGHcArACDm@v@e@d@aBbBYXQPm@h@g@^KFk@^sAt@wCfB
7,34.3,4.2,e|mdIjtle@Lf@FLPR
8,1442.9,140.3,}zmdItvle@Gd@Id@[jBIj@Ib@e@rCIb@G^SzBGfA?b@Ah@?lADvBDbEQlHAr@MbECjAOhFKhEGlBEpAGxB@r@H|GB~AFpCBvBDfBHvBTzDPdCDtBArAMnBIv@E`@ANGJQRMD
9,721.4,67,qandIxzpe@FZPz@PxAJfAHfD@~@JpFD|B@NPjE?P@JBn@Bv@J|B`@zFJjAXjDRxB@NHvADdA
10,1523.3,123.5,czmdIf}re@PbGBtABh@@f@?J@V@j@FnL@PBtFBzB?~@@hAB|B@dCDjD@vB@~@HfOJtN@vAH|L@~AFtGFfGHlH
11,4694.2,275.8,avmdIhlwe@LdH@t@HhAHzAnA~EFTFRT`AzDpOZlAxAtF~CdMjCzJzAtFPp@`@xAHXJb@DLFZFVHRJTFLJNHJVRXVLLJPJPLZJb@H`@F\Hh@Db@@X@V?RA^AZCb@CZCb@?^?f@Br@BZH|@jAtKVpB@HBRl@~EPxAbAxHbAvGf@hDn@bETtAp@bExAnIv@jFzBnMhBlKp@bEf@fDP`BFb@T|BLlAZjELhB\bHN|BRrBTvBZxBh@zCd@vBd@hBX`ATp@t@tB|@vBtB`EbD|FjFpJfArB`AvBrAlDlB`FnDrM`D~L
12,370.3,20.9,a`jdI~lcf@`EhKZf@`@`@^Pf@LL@TBb@FZFp@ZTRZP
13,118.1,8.9,qoidIj_df@JMLGL?NBLLJRDNBR@RAPCREPGNKHIFI@
14,308.3,17.4,gnidInddf@ONMV}AtDsBlFmAjDKj@Ar@
15,58.2,3.3,sxidIf{df@DZ@TAVERGRILGDIB
16,565.9,32.1,wyidIp_ef@OXS`@Uf@g@vAs@lBk@nAaBxCcCdCm@d@m@^i@Xs@Xq@Tm@JWD[D]FONSd@
17,13.9,1,osjdIp{ef@ATCP
18,1011.4,77.5,usjdIx|ef@B`A@Z\`APZNRVPXNZHZDXAXCZKt@[dAi@\GZC\?\B\FF@RH\N\TZXZ\V^Vd@Rf@b@xATxAHp@HbBBpJCbLCbL?H
19,2317.8,177,gzidIhygf@eB?wD?aEC[@UDOJSRO\IVMn@QzAYjBENEPIVUd@OXQ^Mb@Gb@Iz@Gj@Mn@WdA[fA[z@Sb@Ud@Ud@Wb@Y\e@l@g@r@u@dAYZ]^g@`@_@\WVU^Ur@Qf@]~AMh@Y`AIf@E^Af@AhAAzADnDAz@Cj@Gp@Kv@WzAk@rCUdAUnAEXC~@Ah@AZEd@Iv@Kr@WjB[dCMv@Ql@QZQRm@p@kCzCkAzA}C|Ei@r@S^[n@m@lAo@tA{AzC_AhB{@fBQXIFGB
20,592.7,44.5,kjldIpllf@@LBd@DVxAfMRtAPx@HXDPJTHNV^hBzBvBrC`AhA|CfD
21,0,0,_vkdIhumf@
